consent,focus_duration_single_task,main_distractions_multi,tired_even_without_hard_work,frustration_cant_stay_focused,busy_all_day_accomplish_little,behaviour_alignment,values_alignment_focus_effect,distraction_strategies_multi,focus_improvement_change_open,lose_focus_feeling_one_word,age_group,gender,work_status,country,values_top3_confidence,values_top3_open_1,values_top3_open_2,values_top3_open_3
yes,11_20_minutes,colleagues_family_friends;smartphone_notifications;social_media_scrolling,rarely,sometimes,sometimes,neutral,somewhat_more_focused,silencing_notifications;taking_breaks_exercise,Remove day to day distractionss,unproductive,age_25_34,woman,employed_full_time,uk,not_really,loyalty,,
yes,more_than_30_minutes,colleagues_family_friends;email_messaging_apps;smartphone_notifications,sometimes,often,sometimes,somewhat_misaligned,somewhat_more_focused,scheduling_focus_time_timers;silencing_notifications;taking_breaks_exercise,To have  lock on my phone between 9-5.,Frustrated,age_35_44,woman,employed_full_time,uk,yes_definitely,honesty,loyalty,trust
yes,more_than_30_minutes,email_messaging_apps;internal_thoughts_worries;multitasking_switching_tasks,sometimes,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,"Getting more sleep, sometimes I work late as that is the best time to work but then it can set me back the next day and I struggle to focus when tired",Frustrated,age_45_54,woman,employed_part_time,uk,yes_definitely,,honesty,
yes,more_than_30_minutes,multitasking_switching_tasks,sometimes,sometimes,sometimes,somewhat_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Feel more enthusiastic about exercise,Irritation,age_55_plus,woman,other,uk,yes_definitely,integrity,,
yes,11_20_minutes,email_messaging_apps;internal_thoughts_worries;smartphone_notifications,sometimes,often,often,somewhat_aligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise,stop being distracted by other things,annoyed,age_25_34,woman,employed_full_time,uk,not_really,family,loyalty,kindness_compassion
yes,more_than_30_minutes,background_noise_environment;email_messaging_apps;smartphone_notifications,rarely,often,sometimes,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise,Have enough will power to turn off emails,resigned,age_55_plus,woman,employed_part_time,uk,not_really,honesty,loyalty,
yes,21_30_minutes,background_noise_environment;colleagues_family_friends;multitasking_switching_tasks,often,sometimes,rarely,somewhat_aligned,much_more_focused_energized,silencing_notifications,Being able to ignore noises,Frustrated,age_55_plus,woman,other,uk,yes_definitely,honesty,,
yes,11_20_minutes,colleagues_family_friends;smartphone_notifications;social_media_scrolling,sometimes,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Remote work,Frustrated,age_25_34,woman,employed_full_time,uk,somewhat,kindness_compassion,loyalty,
yes,21_30_minutes,colleagues_family_friends;smartphone_notifications;social_media_scrolling,rarely,never,often,somewhat_aligned,much_more_focused_energized,silencing_notifications;taking_breaks_exercise,Probably my phone,frustration,age_35_44,woman,employed_full_time,uk,not_really,family,,honesty
yes,11_20_minutes,background_noise_environment;colleagues_family_friends;multitasking_switching_tasks,sometimes,rarely,rarely,somewhat_misaligned,somewhat_more_focused,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,i would only work on one project at a time and not deal with any outside questions,annoyed,age_35_44,woman,employed_full_time,uk,yes_definitely,honesty,,fairness
yes,21_30_minutes,email_messaging_apps;multitasking_switching_tasks;smartphone_notifications,rarely,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Less screen time,Disappointed,age_25_34,woman,self_employed,uk,somewhat,,honesty,kindness_compassion
yes,11_20_minutes,background_noise_environment;email_messaging_apps;smartphone_notifications,sometimes,often,sometimes,somewhat_misaligned,somewhat_more_focused,scheduling_focus_time_timers;silencing_notifications;taking_breaks_exercise,Relaxed work environment,Tired and lazy,age_25_34,man,employed_full_time,uk,not_really,,,
yes,more_than_30_minutes,background_noise_environment;multitasking_switching_tasks,sometimes,rarely,rarely,somewhat_aligned,somewhat_more_focused,working_in_quiet_spaces,learning to be better at taking breaks when needed,frustrated,age_25_34,woman,self_employed,uk,somewhat,kindness_compassion,honesty,
yes,11_20_minutes,email_messaging_apps;multitasking_switching_tasks;smartphone_notifications,sometimes,sometimes,often,neutral,neutral,using_apps_block_distractions;working_in_quiet_spaces,Work from home more,Frustrated,age_55_plus,man,employed_full_time,au,yes_definitely,honesty,integrity,kindness_compassion
yes,21_30_minutes,email_messaging_apps;social_media_scrolling,sometimes,often,sometimes,very_strongly_aligned,somewhat_more_focused,none_of_the_above,Less brain fog!,disappointed,age_55_plus,man,self_employed,uk,not_really,integrity,,
yes,5_10_minutes,colleagues_family_friends;smartphone_notifications;social_media_scrolling,sometimes,often,often,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values,Less scrolling on phone,Frustrated,age_45_54,woman,employed_full_time,uk,yes_definitely,kindness_compassion,fairness,integrity
yes,more_than_30_minutes,colleagues_family_friends;smartphone_notifications,sometimes,sometimes,sometimes,very_strongly_aligned,somewhat_more_focused,silencing_notifications;working_in_quiet_spaces,Less interruption,Frustrated,age_25_34,woman,employed_part_time,uk,yes_definitely,family,,
yes,more_than_30_minutes,colleagues_family_friends;email_messaging_apps;social_media_scrolling,rarely,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,scheduling_focus_time_timers;taking_breaks_exercise;working_in_quiet_spaces,A private space where I can work quietly,Frustrated,age_25_34,man,employed_full_time,uk,somewhat,hard_work_diligence,loyalty,
yes,21_30_minutes,multitasking_switching_tasks;smartphone_notifications;social_media_scrolling,rarely,sometimes,sometimes,neutral,no_difference,aligning_tasks_with_priorities_values,My willpower to not look at my phone when completing a task,Inadequate,age_18_24,woman,employed_full_time,uk,somewhat,hard_work_diligence,,kindness_compassion
yes,more_than_30_minutes,background_noise_environment;internal_thoughts_worries;smartphone_notifications,often,often,often,neutral,no_difference,taking_breaks_exercise;working_in_quiet_spaces,"not sure, its an odd question, i just wish i had a better ability to focus",frustrated,age_25_34,woman,employed_part_time,uk,not_at_all,,,
yes,5_10_minutes,internal_thoughts_worries;multitasking_switching_tasks;social_media_scrolling,almost_always,often,often,not_aligned_at_all,somewhat_more_focused,silencing_notifications;using_apps_block_distractions;working_in_quiet_spaces,ADHD medication,frustrated,age_35_44,man,employed_full_time,uk,not_really,honesty,kindness_compassion,kindness_compassion
yes,more_than_30_minutes,background_noise_environment;colleagues_family_friends;social_media_scrolling,rarely,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,Learn to tell people more to give me space to work,Annoyed,age_45_54,man,employed_full_time,uk,somewhat,honesty,loyalty,trust
yes,11_20_minutes,background_noise_environment;smartphone_notifications;social_media_scrolling,almost_always,often,often,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Remove social media,Frustrated,age_25_34,man,employed_full_time,uk,somewhat,,honesty,
yes,more_than_30_minutes,colleagues_family_friends;smartphone_notifications;social_media_scrolling,sometimes,sometimes,sometimes,neutral,somewhat_more_focused,scheduling_focus_time_timers;taking_breaks_exercise;working_in_quiet_spaces,Reduce my attention to social media,Frustrated,age_25_34,man,employed_full_time,uk,yes_definitely,family,,
yes,11_20_minutes,background_noise_environment;email_messaging_apps;smartphone_notifications,sometimes,rarely,sometimes,neutral,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,To try and be less distracted or succumb to being distracted.,Annoyed,age_35_44,man,employed_full_time,uk,yes_definitely,loyalty,kindness_compassion,
yes,11_20_minutes,colleagues_family_friends;email_messaging_apps;smartphone_notifications,sometimes,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,work on my own,distress,age_45_54,man,employed_full_time,uk,somewhat,honesty,,
yes,11_20_minutes,background_noise_environment;internal_thoughts_worries,never,sometimes,rarely,very_strongly_aligned,neutral,silencing_notifications;working_in_quiet_spaces,Less background noise,fine,age_55_plus,woman,employed_full_time,uk,yes_definitely,,,
yes,21_30_minutes,email_messaging_apps;smartphone_notifications;social_media_scrolling,sometimes,often,sometimes,somewhat_aligned,somewhat_more_focused,silencing_notifications;working_in_quiet_spaces,turn phone off,frustrated,age_55_plus,man,unemployed,uk,somewhat,family,honesty,loyalty
yes,5_10_minutes,multitasking_switching_tasks;social_media_scrolling,rarely,sometimes,sometimes,somewhat_aligned,no_difference,taking_breaks_exercise;using_apps_block_distractions,Be able to focus for longer,Resigned,age_25_34,woman,employed_full_time,uk,not_really,,,
yes,more_than_30_minutes,colleagues_family_friends;smartphone_notifications;social_media_scrolling,sometimes,sometimes,rarely,very_strongly_aligned,much_more_focused_energized,scheduling_focus_time_timers;taking_breaks_exercise,I would get better quality of sleep and sleep/wake at a consistent time everyday.,frustrated,age_18_24,woman,employed_full_time,uk,yes_definitely,,,
yes,11_20_minutes,internal_thoughts_worries;multitasking_switching_tasks;social_media_scrolling,almost_always,often,sometimes,neutral,somewhat_more_focused,none_of_the_above,Do tasks that I am confident in and have interest in,Annoyed,age_25_34,woman,employed_full_time,uk,not_really,kindness_compassion,kindness_compassion,
yes,11_20_minutes,colleagues_family_friends;email_messaging_apps;smartphone_notifications,sometimes,often,often,somewhat_misaligned,much_more_focused_energized,aligning_tasks_with_priorities_values;silencing_notifications;using_apps_block_distractions,lose my phone,disappointed,age_45_54,man,employed_full_time,uk,somewhat,kindness_compassion,,
yes,11_20_minutes,colleagues_family_friends;smartphone_notifications;social_media_scrolling,often,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,taking_breaks_exercise,"More will power to ignore phone notifications and other distractions, such as playing with pets",Fine,age_45_54,man,employed_full_time,uk,not_really,,family,
yes,5_10_minutes,colleagues_family_friends;internal_thoughts_worries;multitasking_switching_tasks,often,almost_always,often,somewhat_aligned,much_more_focused_energized,scheduling_focus_time_timers;taking_breaks_exercise;working_in_quiet_spaces,Be more self disciplined,frustrated,age_18_24,woman,employed_full_time,uk,somewhat,honesty,loyalty,
yes,more_than_30_minutes,smartphone_notifications,rarely,rarely,rarely,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;silencing_notifications;working_in_quiet_spaces,I would spend less time looking at distracting material on the internet during work time.,absent,age_55_plus,man,employed_full_time,uk,somewhat,honesty,loyalty,kindness_compassion
yes,11_20_minutes,background_noise_environment;internal_thoughts_worries;multitasking_switching_tasks,often,often,often,neutral,much_more_focused_energized,taking_breaks_exercise;working_in_quiet_spaces,I would like to feel less tired,Conflicted,age_35_44,woman,employed_full_time,uk,not_really,integrity,honesty,loyalty
yes,more_than_30_minutes,colleagues_family_friends;internal_thoughts_worries;multitasking_switching_tasks,rarely,often,often,somewhat_misaligned,somewhat_more_focused,taking_breaks_exercise;working_in_quiet_spaces,Being able to ignore family and friends when they reach out and not worry about what they want.,Bored.,age_35_44,man,employed_full_time,uk,yes_definitely,honesty,loyalty,
yes,5_10_minutes,email_messaging_apps;smartphone_notifications;social_media_scrolling,rarely,rarely,sometimes,somewhat_aligned,somewhat_more_focused,scheduling_focus_time_timers;silencing_notifications;taking_breaks_exercise,To be able to sit still and concentrate,Frustrated,age_25_34,woman,employed_full_time,uk,somewhat,honesty,kindness_compassion,
yes,more_than_30_minutes,email_messaging_apps;smartphone_notifications;social_media_scrolling,often,often,sometimes,somewhat_aligned,somewhat_more_focused,none_of_the_above,I think my working environment contributes a lot. Working alone makes me feel less guilty for getting distracted.,Lazy,age_25_34,man,employed_full_time,uk,not_really,honesty,,
yes,11_20_minutes,other,almost_always,almost_always,never,very_strongly_aligned,somewhat_more_focused,taking_breaks_exercise;working_in_quiet_spaces,Have optimal physical health,Infuriated,age_45_54,man,unemployed,uk,somewhat,trust,honesty,integrity
yes,more_than_30_minutes,email_messaging_apps;multitasking_switching_tasks;smartphone_notifications,sometimes,often,sometimes,somewhat_aligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Being able to work more flexible hours that suit my needs.,Lost,age_35_44,man,employed_full_time,uk,somewhat,honesty,kindness_compassion,hard_work_diligence
yes,more_than_30_minutes,background_noise_environment;multitasking_switching_tasks,rarely,rarely,rarely,very_strongly_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;working_in_quiet_spaces,More control over my work environment at all times to better reduce distractions around me,frustrated,age_35_44,man,employed_full_time,us,somewhat,,loyalty,
yes,5_10_minutes,email_messaging_apps;multitasking_switching_tasks;social_media_scrolling,sometimes,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;silencing_notifications;using_apps_block_distractions;working_in_quiet_spaces,Go to the office more cos I achieve more when `I go to the office,Human,age_25_34,woman,employed_full_time,uk,somewhat,,,
yes,more_than_30_minutes,email_messaging_apps;multitasking_switching_tasks;smartphone_notifications,rarely,rarely,rarely,somewhat_aligned,no_difference,silencing_notifications;using_apps_block_distractions,Nothing comes to mind.,irritated,age_55_plus,man,self_employed,us,yes_definitely,honesty,kindness_compassion,loyalty
yes,less_than_5_minutes,background_noise_environment;multitasking_switching_tasks;smartphone_notifications,almost_always,often,almost_always,neutral,neutral,none_of_the_above,Everything. I need help with this.,Fedup,age_55_plus,woman,employed_full_time,uk,not_really,,,
yes,11_20_minutes,colleagues_family_friends;smartphone_notifications;social_media_scrolling,often,often,often,somewhat_misaligned,much_more_focused_energized,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Less phone usage,guilty,age_18_24,woman,student,uk,not_really,,kindness_compassion,
yes,more_than_30_minutes,colleagues_family_friends;social_media_scrolling,sometimes,sometimes,rarely,somewhat_aligned,much_more_focused_energized,taking_breaks_exercise;working_in_quiet_spaces,"Sound proofing my office would be good. I'm usually pretty good at blocking out sound, but when my kids are around they are a bit noisy.","A little irritated, but it's not such a huge issue.",age_45_54,man,self_employed,au,somewhat,honesty,integrity,
yes,5_10_minutes,smartphone_notifications;social_media_scrolling,often,often,sometimes,neutral,somewhat_more_focused,aligning_tasks_with_priorities_values;none_of_the_above,Being able to do tasks without having to put something on in the background to stay focussed,frustrated,age_25_34,woman,employed_full_time,uk,somewhat,family,,
yes,more_than_30_minutes,email_messaging_apps;internal_thoughts_worries;multitasking_switching_tasks,sometimes,often,often,somewhat_aligned,much_more_focused_energized,scheduling_focus_time_timers;taking_breaks_exercise,procrastinate less on tasks i dont enjoy/like doing,exhausted or overstimulated,age_35_44,woman,employed_full_time,uk,yes_definitely,integrity,,honesty
yes,21_30_minutes,background_noise_environment;colleagues_family_friends;internal_thoughts_worries,rarely,sometimes,rarely,very_strongly_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,Being able to stop distracting thoughts in my mind,resigned,age_45_54,woman,unemployed,uk,somewhat,,,kindness_compassion
yes,more_than_30_minutes,smartphone_notifications,rarely,sometimes,never,somewhat_misaligned,somewhat_more_focused,taking_breaks_exercise,I really don't know...,Unfocused,age_45_54,man,self_employed,us,yes_definitely,,,
yes,more_than_30_minutes,background_noise_environment;colleagues_family_friends;email_messaging_apps,rarely,often,sometimes,neutral,no_difference,silencing_notifications,no phones around for anybody,frustrated,age_55_plus,woman,employed_part_time,uk,yes_definitely,honesty,integrity,loyalty
yes,more_than_30_minutes,colleagues_family_friends;email_messaging_apps;smartphone_notifications,rarely,sometimes,sometimes,neutral,neutral,none_of_the_above,I don't think I have any issue with focussing or staying focussed so I wouldn't change anything.,Stressed!,age_55_plus,man,employed_full_time,uk,not_at_all,,loyalty,
yes,11_20_minutes,email_messaging_apps,never,rarely,rarely,neutral,neutral,taking_breaks_exercise,Having the cat not wanting attention,annoyed,age_55_plus,man,other,uk,somewhat,honesty,,
yes,21_30_minutes,internal_thoughts_worries;other;social_media_scrolling,sometimes,almost_always,rarely,neutral,no_difference,taking_breaks_exercise,Medication,Annoyed,age_25_34,non_binary,employed_full_time,uk,yes_definitely,hard_work_diligence,,
yes,5_10_minutes,background_noise_environment;smartphone_notifications;social_media_scrolling,sometimes,often,often,somewhat_misaligned,somewhat_more_focused,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,Better work life balance,Distracted,age_35_44,man,employed_full_time,uk,yes_definitely,honesty,,
yes,21_30_minutes,internal_thoughts_worries,sometimes,almost_always,rarely,very_strongly_aligned,much_more_focused_energized,none_of_the_above,Automatically quiet my mind & focus,Scattered,age_35_44,woman,other,uk,yes_definitely,,,
yes,more_than_30_minutes,colleagues_family_friends;internal_thoughts_worries;multitasking_switching_tasks,rarely,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;working_in_quiet_spaces,make everything more interesting and exciting to hold attention,bored,age_25_34,man,unemployed,us,somewhat,honesty,loyalty,hard_work_diligence
yes,11_20_minutes,internal_thoughts_worries;multitasking_switching_tasks,sometimes,rarely,sometimes,somewhat_aligned,much_more_focused_energized,taking_breaks_exercise;working_in_quiet_spaces,focus for longer periods,frustrated,age_45_54,man,employed_full_time,uk,not_really,honesty,loyalty,integrity
yes,more_than_30_minutes,background_noise_environment;multitasking_switching_tasks,rarely,almost_always,sometimes,neutral,neutral,none_of_the_above,The ability to block out noise.,Fidgety,age_55_plus,woman,self_employed,uk,not_really,,,
yes,more_than_30_minutes,background_noise_environment;multitasking_switching_tasks;smartphone_notifications,rarely,sometimes,rarely,very_strongly_aligned,much_more_focused_energized,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,less household tasks,lost,age_55_plus,woman,employed_part_time,uk,yes_definitely,honesty,kindness_compassion,loyalty
yes,more_than_30_minutes,email_messaging_apps;multitasking_switching_tasks;smartphone_notifications,sometimes,sometimes,often,not_aligned_at_all,much_more_focused_energized,scheduling_focus_time_timers;working_in_quiet_spaces,I'd get better quality sleep.,Frustrated,age_45_54,woman,employed_full_time,uk,somewhat,honesty,,
yes,5_10_minutes,background_noise_environment;internal_thoughts_worries;social_media_scrolling,often,often,often,somewhat_aligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,I wish I could not let my mind wander,"Frustrating, but expected",age_25_34,woman,employed_full_time,uk,somewhat,family,honesty,kindness_compassion
yes,more_than_30_minutes,colleagues_family_friends;internal_thoughts_worries;social_media_scrolling,rarely,sometimes,never,somewhat_misaligned,neutral,scheduling_focus_time_timers;taking_breaks_exercise,Unsure,Unbothered,age_25_34,woman,employed_full_time,uk,not_really,kindness_compassion,loyalty,
yes,more_than_30_minutes,background_noise_environment;internal_thoughts_worries;multitasking_switching_tasks,rarely,sometimes,sometimes,neutral,neutral,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,Silence,Frustrated,age_35_44,man,employed_full_time,uk,somewhat,,honesty,
yes,more_than_30_minutes,colleagues_family_friends,rarely,rarely,sometimes,somewhat_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;working_in_quiet_spaces,NOTHING,FRUSTRATED,age_55_plus,man,employed_part_time,uk,yes_definitely,loyalty,kindness_compassion,
yes,11_20_minutes,multitasking_switching_tasks,often,almost_always,sometimes,somewhat_aligned,somewhat_more_focused,taking_breaks_exercise,To be able to focus for longer periods,I get frustrated and feel guilty,age_45_54,man,employed_full_time,uk,not_really,honesty,,
yes,11_20_minutes,background_noise_environment;smartphone_notifications,rarely,sometimes,sometimes,somewhat_aligned,neutral,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,Not live in a big city with continuous noise of some form or another.,frustrated,age_55_plus,woman,other,uk,somewhat,honesty,integrity,
yes,21_30_minutes,colleagues_family_friends;smartphone_notifications;social_media_scrolling,sometimes,sometimes,often,neutral,somewhat_more_focused,scheduling_focus_time_timers;taking_breaks_exercise,More engaging work,Frustrated,age_45_54,man,employed_part_time,uk,somewhat,honesty,kindness_compassion,kindness_compassion
yes,5_10_minutes,background_noise_environment;colleagues_family_friends;multitasking_switching_tasks,often,rarely,often,somewhat_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise,more self discipline would help.,frustrated,age_55_plus,woman,employed_part_time,uk,not_really,kindness_compassion,,loyalty
yes,11_20_minutes,colleagues_family_friends;email_messaging_apps;smartphone_notifications,sometimes,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,Quiet spaces to do work,Frustrated,age_45_54,woman,employed_full_time,uk,somewhat,family,,
yes,11_20_minutes,background_noise_environment;email_messaging_apps;internal_thoughts_worries,sometimes,sometimes,rarely,somewhat_aligned,somewhat_more_focused,taking_breaks_exercise;using_apps_block_distractions;working_in_quiet_spaces,I just would want my brain to be able to not get so easily caught up on a random thought that enters my brain completely unrelated to what I'm doing.,Frustrated,age_18_24,woman,student,au,somewhat,honesty,,trust
yes,21_30_minutes,email_messaging_apps;smartphone_notifications;social_media_scrolling,sometimes,often,sometimes,somewhat_aligned,much_more_focused_energized,scheduling_focus_time_timers;taking_breaks_exercise,Feeling that what I am contributing towards really makes a difference,Disappointed,age_35_44,man,employed_full_time,uk,somewhat,loyalty,kindness_compassion,
yes,more_than_30_minutes,background_noise_environment;internal_thoughts_worries;multitasking_switching_tasks,sometimes,sometimes,sometimes,somewhat_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,I would be more accepting of loud noises.,Annoyed,age_35_44,man,employed_full_time,us,somewhat,family,,
yes,more_than_30_minutes,colleagues_family_friends;email_messaging_apps;smartphone_notifications,rarely,rarely,sometimes,neutral,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,take my phone off me,disappointed,age_55_plus,man,employed_full_time,uk,somewhat,honesty,kindness_compassion,hard_work_diligence
yes,21_30_minutes,smartphone_notifications,sometimes,sometimes,rarely,somewhat_aligned,much_more_focused_energized,silencing_notifications,Friends respecting my working hours and not trying to distract me,Frustrated,age_25_34,woman,self_employed,uk,somewhat,,,
yes,11_20_minutes,internal_thoughts_worries;multitasking_switching_tasks;smartphone_notifications,rarely,rarely,rarely,somewhat_aligned,much_more_focused_energized,taking_breaks_exercise,Take a break more often and make sure that I am hydrated enough as at times I am sluggish by not drinking sufficient water,Frustrayed,age_55_plus,man,other,uk,yes_definitely,kindness_compassion,,
yes,11_20_minutes,colleagues_family_friends;email_messaging_apps;multitasking_switching_tasks,often,often,sometimes,somewhat_misaligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,cut down on questions from colleagues,frustrated,age_55_plus,man,employed_full_time,uk,yes_definitely,honesty,loyalty,hard_work_diligence
yes,5_10_minutes,email_messaging_apps;multitasking_switching_tasks;smartphone_notifications,almost_always,often,often,neutral,no_difference,none_of_the_above,Help me concentrate better,Bored,age_45_54,man,employed_full_time,uk,not_really,,,
yes,more_than_30_minutes,background_noise_environment;colleagues_family_friends;smartphone_notifications,sometimes,sometimes,sometimes,somewhat_misaligned,much_more_focused_energized,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,have a quieter working environment where there is no noise,annoyed,age_45_54,woman,employed_full_time,uk,not_really,family,,
yes,11_20_minutes,smartphone_notifications,sometimes,often,sometimes,somewhat_aligned,much_more_focused_energized,silencing_notifications,"Practice more, I feel i was more able to focus previously. Maybe take my smart watch off as it buzzes on my wrist even when my phone is on silent",Annoyed,age_45_54,woman,employed_part_time,uk,somewhat,honesty,hard_work_diligence,integrity
yes,more_than_30_minutes,colleagues_family_friends;multitasking_switching_tasks;smartphone_notifications,rarely,often,sometimes,somewhat_aligned,somewhat_more_focused,silencing_notifications;working_in_quiet_spaces,The temptation to multi-task,annoyed,age_55_plus,woman,employed_part_time,uk,yes_definitely,kindness_compassion,honesty,
yes,11_20_minutes,background_noise_environment;internal_thoughts_worries;social_media_scrolling,sometimes,often,sometimes,somewhat_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,To be able to block out outside/background noises.,Frustrated,age_35_44,woman,self_employed,uk,somewhat,kindness_compassion,,honesty
yes,11_20_minutes,colleagues_family_friends;smartphone_notifications;social_media_scrolling,almost_always,often,rarely,very_strongly_aligned,somewhat_more_focused,aligning_tasks_with_priorities_values;silencing_notifications;working_in_quiet_spaces,I would increase my ability to concentrate as and when needed,"I feel frustrated, especially when I have a looming deadline",age_25_34,woman,employed_full_time,uk,somewhat,,,
